Sample_Name, Sample_ID, Sample_Description, Fraction_successful, Fraction_genotype, 
IW-160,97,Deltapine 90,0.8896481719806413,
IW-313,66,Coker 315 (pool),0.8864188066947745,
IW-314,186,Namcala (pool),0.8663356170776784,
IW-325,80,Delta Opal (pool),0.8600972094507103,
IW-337,88,Deltapine 16 (pool),0.8530279431974347,
IW-340,251,Sicot 81 (pool),0.8824139207700852,
IW-344,79,Delta Opal,0.8896021470278896,
IW-349,98,Deltapine 90 (pool),0.8852456035062833,
IW-351,121,FiberMax 989 (Sicala V-2) (pool),0.8867897134353279,
IW-352,255,Sicot F-1 (pool),0.8402647889390106,
IW-358,256,Siokra 1-4,0.8887518366014258,
IW-363,253,Sicot 189 (pool),0.8883089960175301,
IW-368,65,Coker 315,0.8895071686211959,
IW-375,119,FiberMax 977 (Sicot 53) (pool),0.8882559557391668,
IW-376,258,Siokra 1-4 (pool),0.8890703244067059,
IW-380,177†,MCU-5,0.8880682541703807,
IW-412,244,Sicala 3-2,0.8868361976962426,
IW-425,175†,MCU-5,0.8881840818626293,
IW-447,231,Riverina Poplar (pool) rpt,0.7970046309981279,
AH-P9-001,344,TX-1209,0.8855344764684422,
AH-P9-002,52,Chaco 510 INTA,0.8890461929394682,
AH-P9-003,141,IAC 25 RMD,0.8392256657275289,
AH-P9-005,298,Western Stormproof,0.8886851374414467,
AH-P9-006,199,Paymaster 784,0.875687548786465,
AH-P9-008,46,Cambodia 4,0.8893927301748531,
AH-P9-011,143,IMA 12427,0.8591165242683149,
AH-P9-012,135,H 1220,0.8890221301646135,
AH-P9-014,264,Stoneville 256 (79256),0.8897026831036984,
AH-P9-017,359,TX-1801,0.7617703305709862,
AH-P9-018,2,1OE,0.887973581071273,
AH-P9-020,198,Paymaster 303,0.888423381758166,
AH-P9-023,126,FMT 709,0.8893688853393353,
AH-P9-026,368,TX-2110,0.858952400670042,
AH-P9-027,341,TX-1025,0.8527430221366699,
AH-P9-029,29,B163,0.8892033086634741,
AH-P9-030,361,TX-1842,0.886096694892106,
AH-P9-031,4,4S-180,0.8730069473416895,
AH-P9-032,324,TX-0379,0.887390338902843,
AH-P9-033,363,TX-1900,0.8877474955000818,
AH-P9-034,272,Suregrow 1001,0.8791764919281698,
AH-P9-037,339,TX-0867,0.8871332239839621,
AH-P9-041,284,Tashkent II,0.8853023846223592,
AH-P9-047,337,TX-0811,0.8174134327001726,
AH-P9-049,203,Paymaster Tejas,0.8894690089012164,
AH-P9-051,144,IMA 1318,0.8895636567989413,
AH-P9-053,305,TX-0040,0.8857070313208437,
AH-P9-054,153,LBBCDBOAKH-1-90,0.8892253023188353,
AH-P9-055,15,Acala Royale,0.888927166246623,
AH-P9-057,195,Paymaster 54,0.8892433745422905,
AH-P9-058,338,TX-0852,0.8734803814515542,
AH-P9-061,81,Deltapine  Smoothleaf,0.8894366707750309,
AH-P9-063,283,Tashkent I,0.888675345396526,
AH-P9-067,218,PD 93030,0.8848915645172989,
AH-P9-069,145,IMA 3869,0.889587903620574,
AH-P9-070,233,RN96625,0.7914648965304605,
AH-P9-071,156,Liao Mian 7 Hao,0.8891024827261022,
AH-P9-073,82,Deltapine 6,0.8734204753530702,
AH-P9-074,76,Delcot 277,0.8893763596809282,
AH-P9-075,236,Sabie,0.8846237533998187,
AH-P9-077,325,TX-0390,0.8725900327391779,
AH-P9-078,297,Westburn,0.8884839914427645,
AH-P9-084,187,NC 88-95,0.8891651542649728,
AH-P9-085,208,PD 113,0.8837770201653852,
AH-P9-086,152,Lankart 57,0.8893461196816707,
AH-P9-088,369,TX-2150,0.7725133126147248,
AH-P9-096,204,PD 1,0.8847068649345462,
